Lane_N_Count,Lane_S_Count,Lane_E_Count,Lane_W_Count,Congestion_N,Congestion_S,Congestion_E,Congestion_W,Current_Green_Lane,Green_Timer_Remaining,Event_Type,Event_Lane,Congestion_Level,Optimal_Action,Signal_Duration
42,39,51,51,100,100,100,100,E,72,Normal,None,Severe,GREEN_W,76
36,19,26,30,74.3,64.1,76.9,84.3,N,25,Normal,None,High,GREEN_W,47
3,11,3,4,61.8,50.6,31.6,24.7,E,22,Ambulance,N,Moderate,GREEN_N,35
26,24,18,39,72.5,71.3,73.8,73.2,E,10,Ambulance,E,High,GREEN_E,35
35,47,36,41,99.1,100,100,98.3,E,34,Breakdown,W,Severe,GREEN_E,74
37,27,37,39,78.2,68.8,82.7,82.5,W,51,Normal,None,Severe,GREEN_E,55
27,9,18,9,70.4,45.8,82.6,48.7,S,4,Ambulance,E,High,GREEN_E,35
51,52,52,42,100,100,100,100,N,63,Normal,None,Severe,GREEN_E,80
34,29,36,26,75.2,83.4,77.6,73.8,N,45,Normal,None,Severe,GREEN_S,68
8,23,9,19,52.1,68.8,49.7,62.3,S,28,Ambulance,S,High,GREEN_S,35
12,13,16,19,75.1,50.1,54.4,63.3,S,27,Ambulance,N,High,GREEN_N,35
15,10,15,14,36.1,25.6,49.9,34.8,E,7,Breakdown,N,Moderate,GREEN_E,39
42,35,28,40,72.8,85.7,78.5,77.9,N,20,Breakdown,N,Severe,GREEN_S,67
22,21,17,23,57.4,50.5,67.1,57.1,E,18,Normal,None,High,GREEN_E,50
28,9,17,13,71.3,41,57.6,50.1,E,32,Normal,None,Moderate,GREEN_N,47
30,40,36,42,74.2,69.8,73.6,80,E,15,Breakdown,E,High,GREEN_W,54
20,32,42,20,64.3,83.4,77.1,76.1,W,12,Ambulance,S,High,GREEN_S,35
8,7,5,15,23.8,31,19.1,44,N,29,Normal,None,Low,GREEN_W,34
31,30,20,30,70.3,82.5,73.8,76.8,S,42,Normal,None,High,GREEN_S,49
26,30,28,37,72.4,74.7,78.2,81.1,E,58,Normal,None,Severe,GREEN_W,62
19,29,39,22,64.1,83.9,75.9,67,N,17,Normal,None,High,GREEN_S,59
8,16,23,28,41,47.4,59.8,66.1,W,34,Ambulance,W,Moderate,GREEN_W,35
44,47,34,53,100,100,96.5,100,S,21,Normal,None,Severe,GREEN_N,61
27,13,25,21,71.4,52.3,59.8,49,S,54,Breakdown,S,High,GREEN_N,64
10,3,2,11,41.1,26.5,15.9,48.5,N,20,Normal,None,Moderate,GREEN_W,31
19,14,24,8,60.5,56.9,70.1,51.3,E,60,Normal,None,High,GREEN_E,63
10,7,5,10,40.4,24.3,31.8,51.3,N,32,Ambulance,W,Moderate,GREEN_W,35
33,35,49,55,96.4,100,100,99,S,1,Ambulance,S,Severe,GREEN_S,35
8,1,1,13,44.2,17.1,19,49.3,N,16,Normal,None,Moderate,GREEN_W,45
31,36,28,19,76,82.1,69.5,64.9,S,50,Normal,None,High,GREEN_S,55
46,34,51,35,97.9,99.6,100,100,W,15,Ambulance,E,Severe,GREEN_E,35
14,1,12,8,39.4,13.6,31.7,46.5,N,6,Normal,None,Moderate,GREEN_W,39
12,28,21,25,72.8,64.5,57,63.6,W,2,Ambulance,N,High,GREEN_N,35
32,36,22,41,81.2,81.5,68.9,84.9,N,4,Normal,None,Severe,GREEN_W,75
10,4,14,12,32.6,47.1,32.6,37.8,S,4,Ambulance,S,Moderate,GREEN_S,35
13,1,6,2,51.9,24.5,33,16.8,W,36,Normal,None,Moderate,GREEN_N,37
35,26,28,42,84.2,71.3,79.1,85,W,22,Ambulance,W,Severe,GREEN_W,35
28,18,27,27,77.8,44.5,52.4,63.7,N,6,Normal,None,High,GREEN_N,63
6,13,8,2,23.2,43,49.3,22.9,N,19,Ambulance,E,Moderate,GREEN_E,35
20,25,31,22,78.3,93.3,83.2,79.4,W,5,Normal,None,Severe,GREEN_S,71
3,9,10,8,16.8,37.7,36.2,51.1,W,22,Breakdown,S,Moderate,GREEN_W,31
10,2,2,4,55.1,20.4,62.3,26,S,14,Ambulance,E,Moderate,GREEN_E,35
12,26,21,24,50.5,66.7,61.1,53.6,E,19,Normal,None,High,GREEN_S,61
27,24,8,22,60,67.9,49.5,49.3,E,42,Normal,None,High,GREEN_S,65
40,41,54,37,100,100,100,100,S,28,Ambulance,S,Severe,GREEN_S,35
8,1,4,2,54,68.2,37.3,19.7,S,3,Ambulance,S,Moderate,GREEN_S,35
23,23,25,35,81.4,80.5,80.4,90.1,W,21,Normal,None,Severe,GREEN_W,70
42,36,29,19,74.6,81.9,89.3,63,S,38,Normal,None,Severe,GREEN_E,60
37,41,38,19,88.8,75.6,71.1,64.3,E,9,Ambulance,N,High,GREEN_N,35
42,20,34,36,85.4,72.3,98.7,70.4,W,6,Ambulance,E,Severe,GREEN_E,35
25,23,9,24,66.4,75.2,42.5,54.6,W,10,Ambulance,S,High,GREEN_S,35
11,7,15,15,35.3,19.6,31.3,43.8,S,9,Normal,None,Moderate,GREEN_W,36
21,21,22,18,71.1,78.3,74.2,74.7,E,3,Ambulance,S,High,GREEN_S,35
32,35,33,55,100,100,100,99.8,N,54,Normal,None,Severe,GREEN_S,70
24,11,28,21,64.6,49.1,67.8,54.7,E,24,Ambulance,E,High,GREEN_E,35
38,41,41,42,100,100,100,100,N,21,Ambulance,S,Severe,GREEN_S,35
19,38,37,39,64.7,85.2,78.4,78.3,S,28,Normal,None,Severe,GREEN_S,57
4,10,13,15,20.4,45.6,26.7,39.2,E,25,Normal,None,Moderate,GREEN_S,36
38,52,42,49,100,100,100,100,S,61,Normal,None,Severe,GREEN_S,66
25,39,29,30,71.9,75.9,77.4,82.9,W,33,Ambulance,W,Severe,GREEN_W,35
31,30,36,30,73.6,93.6,81.7,70.7,W,32,Ambulance,S,Severe,GREEN_S,35
3,4,12,1,29.6,26.1,56.4,14.8,E,15,Ambulance,E,Moderate,GREEN_E,35
5,2,6,6,37.6,42.9,32.6,30,N,20,Ambulance,S,Moderate,GREEN_S,35
36,44,41,34,100,100,95.2,100,N,9,Ambulance,N,Severe,GREEN_N,35
27,15,18,22,66.8,48.7,56.2,60,E,13,Ambulance,N,High,GREEN_N,35
21,16,28,24,57.4,71.8,57.3,57,W,7,Ambulance,S,High,GREEN_S,35
48,33,50,39,100,91.8,97,100,N,26,Ambulance,N,Severe,GREEN_N,35
20,25,27,31,80.2,76.5,78.4,80.8,E,79,Normal,None,Severe,GREEN_W,82
12,15,28,23,53.5,48.1,73,65.5,S,23,Breakdown,N,High,GREEN_E,46
12,8,14,11,62.5,53.3,66.5,78.3,N,43,Normal,None,High,GREEN_W,55
32,36,37,41,76.1,84.6,70.5,76.1,E,22,Ambulance,S,Severe,GREEN_S,35
25,13,22,12,64.7,55.8,79.5,45.1,E,4,Ambulance,E,High,GREEN_E,35
41,34,51,55,95,96.2,100,100,N,13,Normal,None,Severe,GREEN_W,64
15,8,27,18,60.9,54.9,67,54.2,W,41,Normal,None,High,GREEN_E,52
49,45,39,54,96.6,95.4,100,96.4,S,43,Normal,None,Severe,GREEN_E,73
55,35,36,53,100,97.7,100,99.6,S,10,Ambulance,E,Severe,GREEN_E,35
26,30,24,21,95.6,84.1,71.1,77,W,15,Normal,None,Severe,GREEN_N,60
38,51,42,44,100,100,100,98.6,S,71,Normal,None,Severe,GREEN_S,83
25,22,22,19,76.4,83,83.1,76.3,W,10,Ambulance,E,Severe,GREEN_E,35
10,12,17,21,48.6,45.4,71.1,57.5,S,24,Normal,None,Moderate,GREEN_E,30
10,14,16,22,42.8,57.4,60.8,68.3,S,40,Breakdown,N,High,GREEN_W,64
48,46,39,44,100,100,100,100,S,76,Normal,None,Severe,GREEN_N,81
1,7,12,9,11.3,38.1,42.3,40.4,W,33,Breakdown,W,Moderate,GREEN_E,49
11,20,19,25,55.3,57.2,57.3,61.7,N,33,Breakdown,N,High,GREEN_W,58
37,34,33,38,100,100,97.5,93.9,W,36,Normal,None,Severe,GREEN_S,67
48,32,41,50,94.5,100,96.2,100,S,18,Normal,None,Severe,GREEN_S,71
26,21,22,23,61.1,56.7,75.3,56.2,N,11,Normal,None,High,GREEN_E,49
19,25,9,15,52.7,64.8,74.2,46.9,W,1,Ambulance,E,High,GREEN_E,35
33,51,49,45,100,100,100,100,E,4,Breakdown,E,Severe,GREEN_N,65
44,43,36,34,100,100,100,93.3,N,25,Ambulance,E,Severe,GREEN_E,35
8,3,15,1,57,15,51.2,11.6,E,38,Normal,None,Moderate,GREEN_N,45
1,7,12,15,18.8,32.2,31.3,34.2,N,11,Normal,None,Low,GREEN_W,31
10,13,11,5,51.8,32.3,37.7,16.7,W,25,Normal,None,Moderate,GREEN_N,39
37,34,45,36,98.9,100,100,93.7,E,25,Ambulance,S,Severe,GREEN_S,35
18,27,22,9,58.7,61.7,52.8,66.8,N,7,Ambulance,W,High,GREEN_W,35
18,13,15,20,51,53.4,72,57.7,W,19,Normal,None,High,GREEN_E,59
13,4,4,4,42.5,22.9,28.7,27.5,W,10,Normal,None,Low,GREEN_N,24
25,28,21,16,64,57.6,54.9,69.4,E,19,Normal,None,High,GREEN_W,56
30,18,32,18,89.1,64.6,73.9,79.3,W,17,Ambulance,N,Severe,GREEN_N,35
9,17,27,21,52.6,48.7,68.1,62.9,E,17,Normal,None,High,GREEN_E,56
5,5,4,3,30.5,34.8,22.2,41.7,W,23,Ambulance,W,Moderate,GREEN_W,35
31,37,25,31,81.2,94.3,79.7,81.9,E,50,Breakdown,W,Severe,GREEN_S,70
27,19,20,19,64.3,47.6,75.4,55,W,31,Normal,None,High,GREEN_E,54
25,20,13,14,68.5,53.5,58.6,59.6,E,13,Ambulance,N,High,GREEN_N,35
23,8,23,12,63.2,54.4,69.2,44.5,N,1,Ambulance,E,High,GREEN_E,35
39,54,36,48,92.3,100,98.2,100,W,48,Normal,None,Severe,GREEN_S,70
18,20,41,22,75.2,72.5,82.4,67.8,N,21,Breakdown,S,High,GREEN_E,54
15,6,4,7,46.5,29.3,29,25.8,W,30,Normal,None,Moderate,GREEN_N,32
15,15,15,3,29.1,36.3,49.1,22.1,E,5,Ambulance,E,Moderate,GREEN_E,35
40,34,49,52,92.2,99.5,100,100,E,43,Normal,None,Severe,GREEN_E,68
27,20,30,20,80.5,66.7,75.3,65.6,N,32,Breakdown,W,High,GREEN_N,62
27,38,40,27,78.5,92.2,79.5,65.7,S,55,Normal,None,Severe,GREEN_S,71
22,33,28,39,90.5,78.5,75.4,82.7,S,22,Ambulance,N,Severe,GREEN_N,35
19,29,28,37,64.2,83.3,78.1,72,S,26,Ambulance,S,High,GREEN_S,35
29,27,36,31,81.6,81.6,81.9,92.3,N,22,Normal,None,Severe,GREEN_W,70
28,19,18,24,56.5,51.8,58.2,68.2,N,32,Normal,None,High,GREEN_W,46
38,35,37,41,89.6,79.2,81.9,73.8,N,28,Normal,None,Severe,GREEN_N,82
48,39,54,47,100,100,100,100,E,68,Normal,None,Severe,GREEN_S,82
15,11,13,13,54.6,48,52.6,55,W,8,Ambulance,W,Moderate,GREEN_W,35
24,15,8,28,63.2,52.7,48.2,55.1,S,7,Ambulance,N,Moderate,GREEN_N,35
13,2,2,7,50.6,57,23.1,39.1,E,34,Ambulance,S,Moderate,GREEN_S,35
8,20,25,19,70.3,62,58.9,55.3,S,7,Ambulance,N,High,GREEN_N,35
47,54,36,53,100,97.8,95.8,100,N,49,Normal,None,Severe,GREEN_N,58
1,14,3,2,10.9,51.2,31.6,20,S,9,Normal,None,Low,GREEN_S,14
8,28,9,23,44.7,58.5,42.3,65.5,N,6,Normal,None,Moderate,GREEN_W,34
25,18,18,13,67,72.8,48.8,53.7,E,20,Normal,None,High,GREEN_S,58
8,5,12,3,36.8,44.8,38.4,18.1,S,7,Normal,None,Moderate,GREEN_S,38
33,20,38,34,79,72.4,92.5,76.8,E,66,Breakdown,N,Severe,GREEN_E,76
49,55,50,37,100,100,100,93.7,E,54,Normal,None,Severe,GREEN_N,75
18,8,28,13,58.2,46.9,72.4,45.7,S,40,Normal,None,Moderate,GREEN_E,48
35,38,41,42,100,95,100,100,W,4,Ambulance,N,Severe,GREEN_N,35
43,51,35,44,100,100,100,100,N,14,Ambulance,S,Severe,GREEN_S,35
14,6,4,6,42.3,25.4,23,30.7,W,17,Normal,None,Low,GREEN_N,18
51,51,32,38,96.2,100,97.9,100,S,36,Normal,None,Severe,GREEN_W,61
23,40,41,42,69,79.7,85.9,74.3,W,23,Breakdown,W,Severe,GREEN_E,74
28,34,33,33,78.8,75.1,83.1,89.6,S,6,Ambulance,W,Severe,GREEN_W,35
3,13,10,4,27.1,47.2,28,22.1,N,33,Breakdown,E,Moderate,GREEN_S,38
33,37,19,37,89,83.8,63.5,80.1,N,56,Normal,None,Severe,GREEN_N,58
20,8,24,15,65.2,45.3,71.1,57.9,W,11,Normal,None,High,GREEN_E,52
18,23,10,10,59.3,58.4,45.3,47.8,S,10,Ambulance,N,Moderate,GREEN_N,35
39,40,34,32,100,99.7,100,94.7,S,12,Normal,None,Severe,GREEN_N,57
11,3,9,13,46.6,23.1,24,38.9,N,4,Normal,None,Moderate,GREEN_N,35
33,21,20,30,81.9,73.9,96.6,69.7,E,16,Ambulance,E,Severe,GREEN_E,35
26,16,13,25,55.8,45,55.6,65.4,E,32,Normal,None,Moderate,GREEN_W,48
11,11,6,7,40.2,35.8,22.1,28.7,N,15,Breakdown,E,Moderate,GREEN_N,42
33,28,30,23,93.4,71.5,81.8,81.1,W,53,Normal,None,Severe,GREEN_N,68
50,41,32,40,100,100,94.3,92.3,N,8,Ambulance,S,Severe,GREEN_S,35
52,33,41,49,100,89.6,100,100,S,19,Ambulance,E,Severe,GREEN_E,35
36,34,51,46,100,100,99.8,100,W,63,Normal,None,Severe,GREEN_N,75
55,32,52,49,98.7,100,100,99.8,N,59,Normal,None,Severe,GREEN_S,80
22,22,41,24,68.8,99.9,89.4,78.3,W,20,Ambulance,S,Severe,GREEN_S,35
18,38,41,32,74.2,77.4,73.9,91.6,S,5,Normal,None,Severe,GREEN_W,79
40,21,34,36,83.3,74.6,70.5,69,E,42,Breakdown,S,High,GREEN_N,45
43,53,43,44,100,100,95.7,99.1,S,26,Breakdown,E,Severe,GREEN_S,69
14,1,13,3,42.6,19.1,45.9,18.4,N,37,Normal,None,Moderate,GREEN_E,48
17,21,9,27,60.1,54.8,41.9,69.6,W,4,Ambulance,W,High,GREEN_W,35
22,20,8,25,59.1,63.5,43.7,70,E,15,Breakdown,S,High,GREEN_W,54
46,42,34,51,100,100,100,100,W,30,Ambulance,E,Severe,GREEN_E,35
17,9,22,26,52,49.6,60.3,65.8,S,19,Normal,None,High,GREEN_W,65
48,35,50,55,97,95.6,94.2,100,W,44,Normal,None,Severe,GREEN_W,56
18,25,42,22,67.3,80.1,87,78.6,N,22,Ambulance,E,Severe,GREEN_E,35
22,26,18,18,52.6,71.1,49.9,59.6,S,34,Normal,None,High,GREEN_S,60
42,41,50,43,100,100,99.5,100,W,27,Normal,None,Severe,GREEN_S,67
15,3,14,10,43.9,17.6,37.3,58.9,E,27,Ambulance,W,Moderate,GREEN_W,35
42,41,48,47,94,99.4,100,99.3,N,32,Normal,None,Severe,GREEN_E,68
25,31,28,27,67.6,93.2,82,73.6,S,28,Ambulance,S,Severe,GREEN_S,35
16,9,23,10,53.1,45.4,60.3,70.1,S,6,Normal,None,High,GREEN_W,52
7,1,14,14,28.4,10.2,32.3,45.1,N,3,Normal,None,Low,GREEN_W,12
8,8,3,5,55.6,42.8,19.4,27,W,43,Breakdown,S,Moderate,GREEN_N,50
49,36,32,52,100,100,91.8,100,W,8,Ambulance,N,Severe,GREEN_N,35
10,25,8,21,42.5,64.9,52.3,57.7,W,31,Ambulance,S,Moderate,GREEN_S,35
2,6,8,3,22.1,29.3,35.6,31.1,W,16,Normal,None,Low,GREEN_E,30
29,32,32,22,78.2,80.6,89.2,71,W,66,Normal,None,Severe,GREEN_E,76
14,4,10,13,41.3,17.4,38,27.1,E,8,Breakdown,E,Low,GREEN_N,20
40,35,21,40,78.6,81.3,78.7,87.5,E,17,Ambulance,W,Severe,GREEN_W,35
4,8,11,12,26.4,32.9,37.8,44.7,N,22,Normal,None,Moderate,GREEN_W,43
13,8,19,13,70.2,53.9,64.7,53.3,W,11,Normal,None,High,GREEN_N,59
20,12,10,28,58.9,48.3,45.3,71.7,W,9,Breakdown,N,High,GREEN_W,58
33,43,41,49,100,100,100,97.2,E,13,Ambulance,S,Severe,GREEN_S,35
39,38,27,26,82.3,74.4,88.6,75.6,S,18,Ambulance,E,Severe,GREEN_E,35
18,10,20,18,55.3,53.2,58.7,54.6,S,29,Normal,None,Moderate,GREEN_E,49
17,11,18,12,64.5,71.8,59.1,46,N,4,Ambulance,S,High,GREEN_S,35
45,37,51,50,100,98.9,95.1,100,S,22,Ambulance,N,Severe,GREEN_N,35
55,36,34,47,97.3,90.3,100,100,S,1,Normal,None,Severe,GREEN_E,70
13,6,10,15,36.5,16.2,27.1,31.7,W,5,Normal,None,Low,GREEN_N,30
34,37,54,51,100,100,100,100,E,40,Normal,None,Severe,GREEN_W,57
46,48,48,46,100,100,100,97.7,E,1,Ambulance,S,Severe,GREEN_S,35
34,46,39,33,100,100,95.4,91,E,24,Normal,None,Severe,GREEN_S,70
33,42,54,40,94.9,98.4,100,94.7,S,30,Ambulance,E,Severe,GREEN_E,35
14,21,17,11,57.5,62.7,73.6,53.9,N,18,Normal,None,High,GREEN_E,52
11,26,22,16,49.8,58.1,50.7,54.1,W,27,Normal,None,Moderate,GREEN_S,41
21,12,25,28,57.6,45.5,81.6,66.8,W,24,Ambulance,E,High,GREEN_E,35
19,24,10,22,59.3,61.3,79.2,65,E,12,Breakdown,S,High,GREEN_E,61
38,35,38,34,100,98.6,100,100,E,18,Ambulance,N,Severe,GREEN_N,35
11,14,24,16,50,52.4,67.7,73.2,E,25,Ambulance,W,High,GREEN_W,35
18,22,26,27,45.2,60.1,65.1,70.6,E,25,Normal,None,High,GREEN_W,52
35,51,42,46,100,100,100,99.4,S,29,Ambulance,E,Severe,GREEN_E,35
26,26,34,23,80.1,75.5,71.2,88.1,E,38,Normal,None,Severe,GREEN_W,58
21,11,22,24,51.4,71.1,64.6,52,W,51,Breakdown,W,High,GREEN_S,55
40,39,29,27,77.4,84.7,99.4,67.1,E,47,Normal,None,Severe,GREEN_E,80
20,19,10,19,59,56.3,52.3,70.4,N,38,Normal,None,High,GREEN_W,65
18,27,20,13,60.2,67.5,62.7,42.6,N,30,Ambulance,S,High,GREEN_S,35
5,11,10,11,29,34.9,30.2,26.7,W,14,Normal,None,Low,GREEN_S,19
12,28,11,9,50.5,63.7,70.5,47.9,S,2,Normal,None,High,GREEN_E,53
9,14,18,13,75.4,59.1,63.6,58.5,E,25,Ambulance,N,High,GREEN_N,35
55,36,48,39,100,93.1,100,99.5,S,34,Ambulance,N,Severe,GREEN_N,35
9,11,14,5,27.5,36,39,21.4,E,8,Normal,None,Low,GREEN_E,17
26,15,28,14,56.3,45.6,68.7,44.5,W,10,Ambulance,E,Moderate,GREEN_E,35
33,32,36,53,100,100,99,100,S,22,Ambulance,N,Severe,GREEN_N,35
17,22,25,20,49.6,62.8,71.1,54,N,9,Normal,None,High,GREEN_E,55
12,28,24,21,43.1,61.1,62,70.4,W,10,Ambulance,W,High,GREEN_W,35
41,20,20,18,83.9,70.2,70.9,69.9,N,4,Breakdown,W,High,GREEN_N,48
4,6,6,13,17.2,25.9,21.1,37.2,E,18,Normal,None,Low,GREEN_W,32
3,13,7,7,22.7,43.3,55.6,28.3,N,31,Ambulance,E,Moderate,GREEN_E,35
21,27,22,13,73.5,66.3,53.1,50.2,S,4,Ambulance,N,High,GREEN_N,35
33,48,43,41,100,97.8,100,100,W,48,Normal,None,Severe,GREEN_W,56
43,54,35,34,100,100,100,100,E,29,Ambulance,E,Severe,GREEN_E,35
11,7,2,6,39.9,51.4,21.1,24.5,N,29,Ambulance,S,Moderate,GREEN_S,35
18,8,13,12,58.6,42.5,50.9,53.8,N,14,Normal,None,Moderate,GREEN_N,38
15,4,12,13,38.3,13.1,26.4,47,S,5,Normal,None,Moderate,GREEN_W,39
46,54,41,35,100,98.1,100,100,N,16,Ambulance,N,Severe,GREEN_N,35
20,37,29,35,70.5,79,72.7,81.1,N,43,Normal,None,High,GREEN_W,50
55,43,34,44,100,100,89.6,100,W,14,Normal,None,Severe,GREEN_W,58
23,32,18,27,73.2,84.7,70.2,96.5,S,31,Normal,None,Severe,GREEN_W,63
4,9,6,12,23.7,35.2,34.6,38.8,E,1,Normal,None,Moderate,GREEN_W,43
3,12,11,4,21.2,38.1,36.4,26.2,N,8,Normal,None,Low,GREEN_S,28
22,16,18,25,49.8,55,58,53.6,E,25,Ambulance,E,Moderate,GREEN_E,35
39,32,42,25,77.9,77.4,82.7,96,E,2,Breakdown,S,Severe,GREEN_W,69
24,31,38,35,68.8,72.5,72.8,73.7,N,13,Normal,None,High,GREEN_W,58
22,20,8,16,53.9,54.1,67.6,50.9,E,47,Breakdown,W,High,GREEN_E,48
19,17,9,19,52.5,52,56.5,61.6,N,22,Normal,None,Moderate,GREEN_W,38
25,22,20,23,89.9,67.6,78.3,77.5,W,52,Normal,None,Severe,GREEN_N,63
13,8,14,15,23.5,22.1,37.7,46.2,W,33,Ambulance,W,Moderate,GREEN_W,35
5,5,11,2,29.9,26.1,49.1,25.5,N,34,Normal,None,Moderate,GREEN_E,43
18,22,11,26,69.5,58.5,54,56.6,E,18,Ambulance,N,High,GREEN_N,35
55,41,45,52,100,97.9,100,100,W,14,Ambulance,E,Severe,GREEN_E,35
4,4,2,9,21.2,35.8,23.1,49.4,W,19,Normal,None,Moderate,GREEN_W,47
4,5,15,13,15.7,21.4,38.3,30.1,E,28,Ambulance,E,Low,GREEN_E,35
25,10,25,24,53.7,43.5,55.2,60.4,W,13,Ambulance,W,Moderate,GREEN_W,35
18,18,30,23,68.2,71,77.6,76.5,W,6,Ambulance,E,High,GREEN_E,35
47,33,47,52,100,100,100,100,N,21,Ambulance,S,Severe,GREEN_S,35
20,14,24,16,58.5,58.2,71.4,58.7,S,45,Normal,None,High,GREEN_E,59
24,19,27,11,50.8,52.1,58.9,52.1,E,23,Normal,None,Moderate,GREEN_E,40
21,14,14,20,72.8,59.2,58.7,52.9,W,28,Normal,None,High,GREEN_N,57
23,35,42,19,72.3,92.6,80.5,64,E,34,Ambulance,S,Severe,GREEN_S,35
24,22,23,36,76.9,69.9,76.5,86.6,S,75,Normal,None,Severe,GREEN_W,79
26,25,24,28,47.8,59.3,58.4,55.6,S,30,Normal,None,Moderate,GREEN_S,34
35,26,40,23,70.2,72.6,74.4,70.1,S,6,Normal,None,High,GREEN_E,58
51,43,50,55,95.4,100,93,100,N,6,Ambulance,S,Severe,GREEN_S,35
25,17,12,14,56.6,49.1,56.4,53.1,N,28,Breakdown,W,Moderate,GREEN_N,30
4,3,4,1,35.3,48.8,35.8,12.3,N,21,Normal,None,Moderate,GREEN_S,41
22,15,26,8,62.2,53.6,66.4,74.1,W,31,Ambulance,W,High,GREEN_W,35
2,9,9,11,26.2,26.9,35.3,41.4,N,3,Normal,None,Moderate,GREEN_W,42
9,24,14,25,52.2,59.3,53.9,56.3,S,9,Normal,None,Moderate,GREEN_S,33
25,26,8,17,64,60.3,76.6,59.9,N,19,Ambulance,E,High,GREEN_E,35
17,28,28,25,69.5,52.9,58.7,51.5,N,7,Ambulance,N,High,GREEN_N,35
18,27,35,33,79.2,81.7,97.1,82.1,S,22,Breakdown,S,Severe,GREEN_E,58
36,37,38,20,84.5,81.9,71.1,74.3,S,16,Breakdown,S,Severe,GREEN_N,71
49,45,43,40,98.2,95.2,100,100,W,10,Ambulance,W,Severe,GREEN_W,35
36,36,27,19,83.9,71.2,96.4,69.3,N,43,Normal,None,Severe,GREEN_E,67
12,9,12,13,27.8,40.1,31.8,34.6,E,27,Breakdown,E,Moderate,GREEN_S,43
8,2,11,12,46.2,15.4,38.8,33.8,E,22,Ambulance,N,Moderate,GREEN_N,35
28,23,41,31,88.2,80.3,74.9,74.3,W,10,Ambulance,N,Severe,GREEN_N,35
13,12,11,9,41.9,33.2,29.9,20.6,W,21,Normal,None,Moderate,GREEN_N,32
42,50,43,35,100,100,97.2,98.1,W,60,Normal,None,Severe,GREEN_S,75
32,48,50,53,100,100,100,99.7,S,20,Ambulance,E,Severe,GREEN_E,35
22,9,28,26,80.6,40.1,68.3,57.8,W,28,Ambulance,N,High,GREEN_N,35
4,12,7,3,26.6,40.5,29,26.8,E,7,Normal,None,Low,GREEN_S,13
1,2,4,7,13.8,51.3,36.6,41.4,W,28,Ambulance,S,Moderate,GREEN_S,35
27,26,19,38,80.1,74,74.5,94.1,E,20,Normal,None,Severe,GREEN_W,76
15,21,27,8,54.2,75.7,67.7,46.7,S,34,Ambulance,S,High,GREEN_S,35
25,8,14,22,65.3,45.9,46.1,77.2,N,30,Normal,None,High,GREEN_W,52
11,2,11,9,32.5,24,51.1,38.8,N,10,Ambulance,E,Moderate,GREEN_E,35
35,36,23,22,78.7,93.3,72,73,S,24,Normal,None,Severe,GREEN_S,81
36,34,30,40,81.7,72.9,73.6,84,N,35,Normal,None,Severe,GREEN_W,81
17,13,25,26,78.9,44.2,60.6,66.1,N,50,Normal,None,High,GREEN_N,59
13,1,3,7,47.2,16.5,15.4,37,N,26,Normal,None,Low,GREEN_N,31
8,7,1,1,39,52.7,11.7,20.2,W,8,Ambulance,S,Low,GREEN_S,35
44,55,47,39,100,100,100,98.7,W,68,Normal,None,Severe,GREEN_E,70
20,9,28,26,73.3,43.9,62.6,65.7,S,24,Ambulance,N,High,GREEN_N,35
37,38,20,26,77.9,78.9,85.9,66.5,S,6,Ambulance,E,Severe,GREEN_E,35
37,50,51,40,100,100,100,93.3,S,44,Normal,None,Severe,GREEN_S,69
40,41,40,29,70.8,79,83.7,73.7,W,27,Breakdown,S,Severe,GREEN_E,63
46,46,32,50,95.3,100,100,99.5,N,17,Ambulance,E,Severe,GREEN_E,35
39,32,33,19,82.5,74.4,72.1,72.1,W,52,Breakdown,W,High,GREEN_N,57
6,13,6,15,28.4,36.5,28.7,50.2,N,23,Breakdown,E,Moderate,GREEN_W,45
30,38,21,39,74.7,78.5,72.4,84.2,W,18,Normal,None,Severe,GREEN_W,60
43,45,33,49,100,100,95,100,E,14,Breakdown,N,Severe,GREEN_W,57
21,8,21,28,64.6,48.1,59,78,E,50,Breakdown,S,High,GREEN_W,56
10,11,1,11,37.3,37.2,45.8,27.9,N,9,Ambulance,E,Moderate,GREEN_E,35
44,33,50,45,100,100,100,97.2,W,76,Normal,None,Severe,GREEN_N,81
24,26,21,29,79.2,80.5,79.8,76.1,E,5,Ambulance,S,Severe,GREEN_S,35
14,4,3,6,47.4,24.1,21.2,24.2,N,1,Ambulance,N,Low,GREEN_N,35
53,33,54,50,100,97.9,100,100,S,17,Normal,None,Severe,GREEN_E,77
12,8,9,8,53.2,53.4,54.3,54.7,E,18,Normal,None,Moderate,GREEN_W,31
25,25,15,20,61.1,65.3,48.7,49.6,S,1,Normal,None,High,GREEN_S,48
35,23,21,38,87,75.5,70.5,75.8,E,30,Ambulance,N,Severe,GREEN_N,35
34,23,20,39,74.8,67.5,65.6,87.3,S,31,Ambulance,W,High,GREEN_W,35
37,32,26,42,75.1,69.5,88.5,77,N,31,Ambulance,E,Severe,GREEN_E,35
43,45,37,44,100,96.7,100,93.8,E,21,Ambulance,E,Severe,GREEN_E,35
35,42,52,55,91.4,100,100,100,N,39,Normal,None,Severe,GREEN_S,57
38,48,47,33,100,98.5,100,90.8,E,58,Normal,None,Severe,GREEN_N,62
42,30,20,26,75.6,79.7,86.3,74.7,N,25,Ambulance,E,Severe,GREEN_E,35
